notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_card_product_dim.ipynb,bo_prd_product (vc_cms.db),PARQUET,,
./dw_card/dw_card_product_dim.ipynb,bo_prd_contract (vc_cms.db),PARQUET,,
./dw_card/dw_card_product_dim.ipynb,bo_acc_account (vc_cms.db),PARQUET,,
./dw_card/dw_card_product_dim.ipynb,dw_product_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_product_dim.ipynb,dw_card_product_dim (vc_data_dwh.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,dw_customer_dim (vc_data_dwh.db),PARQUET,tmp_evt_status (vc_data_dwh.db),PARQUET
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,ma_loginrecord (vc_osystem.db),PARQUET,tmp_write_off_account (vc_data_dwh.db),PARQUET
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,ma_account (vc_osystem.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,ma_profile (vc_osystem.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,tmp_evt_status (vc_data_dwh.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,dw_account_balance_fct (vc_data_dwh.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,tmp_account_aging_period_end_day (vc_data_dwh.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,bo_scr_bucket (vc_cms.db),PARQUET,,
./dw_card/rpt_pd_minus_4_cscore_prc.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_instant_card_sms_fct.ipynb,,,dw_instant_card_sms_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_limitinfo (vc_osystem.db),PARQUET,dw_kredivo_loan_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_custidentity (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_loantransinfo (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_loanrepaymentschedule (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_loandetail (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_loanscheme (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_loaninfo (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,dw_write_off_krevo_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_purpcode (vc_osystem.db),PARQUET,,
./dw_card/dw_kredivo_loan_fct.ipynb,vlgwc_depttrading (vc_osystem.db),PARQUET,,
./dw_card/tmp_write_off_account.ipynb,bo_evt_status_log (vc_cms.db),PARQUET,tmp_evt_status (vc_data_dwh.db),PARQUET
